artist,rank,count,arc
blink-182,1,5,consistent
blink-182,1,5,consistent
blink-182,1,5,consistent
blink-182,1,5,consistent
Bouncing Souls,3,5,consistent
Bouncing Souls,3,5,consistent
Bouncing Souls,3,5,consistent
Bouncing Souls,3,5,consistent
Bouncing Souls,3,5,consistent
Deftones,1,4,consistent
Deftones,1,4,consistent
Deftones,1,4,consistent
Deftones,1,4,consistent
Dillon Francis,3,4,consistent
Dillon Francis,3,4,consistent
Dillon Francis,3,4,consistent
Dillon Francis,3,4,consistent
DJ Semtex,6,5,consistent
DJ Semtex,6,5,consistent
DJ Semtex,6,5,consistent
DJ Semtex,6,5,consistent
DJ Semtex,6,5,consistent
Fall Out Boy,1,6,consistent
Fall Out Boy,1,6,consistent
Fall Out Boy,1,6,consistent
Fall Out Boy,1,6,consistent
Fall Out Boy,1,6,consistent
Fall Out Boy,1,6,consistent
Fekky,6,4,consistent
Fekky,6,4,consistent
Fekky,6,4,consistent
Fekky,6,4,consistent
Foo Fighters,1,5,consistent
Foo Fighters,1,5,consistent
Foo Fighters,1,5,consistent
Foo Fighters,1,5,consistent
Foo Fighters,1,5,consistent
Jacob Plant,3,4,consistent
Jacob Plant,3,4,consistent
Jacob Plant,3,4,consistent
Jacob Plant,3,4,consistent
Kings of Leon,1,4,consistent
Kings of Leon,1,4,consistent
Kings of Leon,1,4,consistent
Kings of Leon,1,4,consistent
Our Fold,5,4,consistent
Our Fold,5,4,consistent
Our Fold,5,4,consistent
Our Fold,5,4,consistent
Placebo,1,4,consistent
Placebo,1,4,consistent
Placebo,1,4,consistent
Placebo,1,4,consistent
Taking Back Sunday,1,4,consistent
Taking Back Sunday,1,4,consistent
Taking Back Sunday,1,4,consistent
Taking Back Sunday,1,4,consistent
The Offspring,1,4,consistent
The Offspring,1,4,consistent
The Offspring,1,4,consistent